a,b,op,floc,ftype,cexpected,yexpected,zexpected
00001010,1100,0,000,00,10010000,00000100,0001
10010011,1100,0,000,00,10010000,10010000,0001
00000101,1111,0,000,00,11100001,00000000,0000
00001101,0101,0,000,00,00011001,00001100,0010
00011110,1001,0,000,00,01010001,00010101,0001
00011101,1110,0,000,00,11000100,00010110,0010
01001101,1101,0,000,00,10101001,00001111,0100
01010011,0110,0,000,00,00100100,00100100,0001
00010001,1011,0,000,00,01111001,00000010,0001
00110001,1000,0,000,00,01000000,00001111,0100
00000000,1011,1,000,00,01111001,11111111,1000
00000111,0100,1,000,00,00010000,10000000,0001
11110011,0110,1,000,00,00100100,00001010,0001
11110011,1100,1,000,00,10010000,11111001,0101
00100011,1001,1,000,00,01010001,01001101,0010
10000000,0100,1,000,00,00010000,01000000,0001
10000000,0010,1,000,00,00000100,10000000,0001
10101010,0111,1,000,00,00110001,11111111,1000
10101010,1000,1,000,00,01000000,00000000,0000
00000100,0110,1,000,00,00100100,00000110,0010
00001010,1100,0,000,10,10010001,00000101,0001
10010011,1100,0,101,11,10110000,00011101,0011
00000101,1111,0,100,01,11100001,00000000,0000
00001101,0101,0,000,11,00011000,00001011,0010
00011110,1001,0,110,00,01010001,00010101,0001
00010110,0110,0,111,11,10100100,00001010,0001
00100011,1010,0,011,11,01101100,00000011,0010
00001111,0111,0,100,01,00100001,00000011,0010
00011111,1100,0,001,10,10010010,00010110,0010
10000001,1111,0,110,01,10100001,00100000,0001
